问题/需求描述,附件,链接,相关人员,tag,描述性tag,分析和todo,社区todo,名字,声量,更新记录日期,备注,父记录
伟大的系统，又好看又好用。,image.png,,cc @团队,S 信号,,,,johnbramich ,1,2025/10/20,,
虚拟机在开机后启动,image.png,,@Leo Chen,R 需求,虚拟机,虚拟机相关的功能会暂缓，目前团队内可能没有足够精力，不过这个需求老生常谈了，我会找相关开发同事沟通,,"BernardoHenriquez 
 ,</ Block ↬ >",2,2025/10/20,https://discord.com/channels/884667213326463016/1251135320825794640/1430938061910446142,
一些App 安装的需求和建议，主要和path 相关,image.png,https://community.zimaspace.com/t/app-store-settings-preferences/6396,"@Link
@Leo Chen",R 需求,App Store,,,SirWill,1,2025/10/20,1、如果应用需要文件路径，给默认路径,
"不开启索引，文件就没有搜索。

这是期望行为吗？",image.png,https://discord.com/channels/884667213326463016/1251135424303337524/1429486558515560519,@Rally @Lauren Pan,待/判断/中,,预期,我们在优化,AngryMaritimer,1,2025/10/20,,
在Windows上重命名共享遇到问题？,image.png,https://community.zimaspace.com/t/renaming-a-folder-being-shared-causes-samba-issues/6426,@Rally,待/判断/中,,"客户端/服务端修改samba文件夹名需要验证问题是否存在
服务端修改samba根文件夹名需要同步修改samba配置文件,以使得samba可用",已经提报，会去验证和在road map 中处理此问题 预计1.5.2 会修复,SirWill,1,2025/10/21,,
Docker自定义安装存在问题,,https://community.zimaspace.com/t/apps-links-dashboard-issue/6391/7?u=zima-giorgio,@Rally,已定位/知晓,,"/var/lib/casaos/apps/yourprojectname文件名重叠的问题,之前遇到是由于同一个应用,这次的新问题需要和用户继续沟通排查",,Harryd,1,2025/10/21,用户提供了复现的方式,
缺少字符集？,image.png,https://community.zimaspace.com/t/samba-shares-and-error-msg-dos-charset-cp850-unavailable-using-ascii/6455,@Rally,已定位/知晓,,"那个报错信息没用,需要远程排查用户实际问题",,Harryd,1,2025/10/21,用户自称是KDE 的问题。,
zimaos-search.conf 拼写错误？/ 强制索引需求,image.png,https://community.zimaspace.com/t/is-there-a-way-to-force-zimaos-ai-file-indexing/6196,@Rally,已定位/知晓,,"已确认,151修复",,blacksunix,1,2025/10/21,,
重启后备份 Google Drive 冲突,image.png,https://community.zimaspace.com/t/backup-google-drive-conflicts-after-reboot/6459,@Rally,重要,,"网盘读写本身存在问题,目前我们团队正在进行优化,从多个角度,性能,稳定性,可用性
等到网盘优化完后,网盘备份的问题再检查",需要穿透技术意见,Syko1,1,2025/10/21,在要一些详细信息,
将端口开放（给nginx proxy manager) 后，win11 上客户端无法工作,"Clip_20251023_172201.png,Clip_20251023_165450.png",https://community.zimaspace.com/t/zima-app-windows-no-connection-after-changing-ports-on-zimaos/6510,@Rally,待/判断/中,,"本地验证切换端口没问题,nginx问题另外还要再花时间复现",引导去dashboard 改,ThomasSpi,1,2025/10/23,,
Plus 用户新建第四个用户出现错误？,Clip_20251024_111849.png,https://community.zimaspace.com/t/zimaos-license/6299/10?u=zima-giorgio,@Rally,重要,,"和是否plus无关

建联中",,sny,1,2025/10/17,,
